directory,year,author,categories,excerpt,title,event,event_url,location,journal,date,date_end,link_osf,link_code,link_pdf,link_poster,link_slides,link_bibtex,link_doi,description
2022_tai,2021,"Sostarics, Thomas; Cole, Jennifer",proceedings;poster,"(Proceedings Paper, Poster Presentation)",Epistemic meaning and the LLL tune in American English,1st International Conference on Tone and Intonation (TAI 2022),https://my.eventbuizz.com/event/1st-international-conference-on-tone-and-intonation--tai--2021/detail,"Sonderborg, Denmark",,12/6/2021,12/6/2021,https://osf.io/7yw9n/,,sostarics21_tai.pdf,Sostarics-tai-poster.pdf,,sostarics21.bib,https://doi.org/10.21437/TAI.2021-3,"Design inspirations: Ribbons.

Sostarics, T., Cole, J. (2021) Epistemic Meaning and the LLL Tune in American English. Proc. 1st International Conference on Tone and Intonation (TAI), 11-15, doi: 10.21437/TAI.2021-3
"
2022_lsa,2022,"Sostarics, Thomas; Cole, Jennifer",conference talk,(Oral Presentation),What listeners can tell us about epistemic meaning and the LLL tune in American English,96th Annual Meeting of the Linguistic Society of America (LSA 2022),,Washington D.C.,,,,https://osf.io/7yw9n/,,,,Sostarics-LSA-2022-slides.pdf,,,"Design inspirations: Stacks.

Sostarics, Thomas; Cole, Jennifer (2022). What listeners can tell us about epistemic meaning and the LLL tune in American English. 96th Annual Meeting of the Linguistic Society of America. Washington D.C., United States."
2021_midphon,2021,"Sostarics, Thomas; Cole, Jennifer",conference talk,(Oral Presentation),Assessing Contrasts in Intonation Through Contrasts in Speaker Commitment,26th Midcontinental Phonetics and Phonology Conference (Midphon 2021),,"Chicago, IL",,,,https://osf.io/7yw9n/,,,,Sostarics-midphon-2021.pdf,,,"Design inspirations: Toothpaste. Sinusoids.

Sostarics, Thomas; Cole, Jennifer (2021). Assessing Contrasts in Intonation Through Contrasts in Speaker Commitment. 26th Midcontinental Phonetics and Phonology Conference. The University of Chicago."
2020_aoa,2020,"Sostarics, Thomas; Walenski, Matthew; Mesulam, M. Marsel; Thompson, Cynthia K.",conference talk,(Oral Presentation),Adjective use by individuals with agrammatic primary progressive aphasia,,,,,,,,,,,ADJECTIVESPPAG_SOSTARICS_2.pdf,,,"Sostarics, Thomas; Walenski, Matthew; Mesulam, M. Marsel; Thompson, Cynthia K (2020). Adjective use by individuals with agrammatic primary progressive aphasia. Academy of Aphasia 2020."
2020_snl,2020,"Sostarics, Thomas; Walenski, Matthew; Mesulam, M. Marsel; Thompson, Cynthia K.",poster,"(Poster presentation)

***1st Place Best Paper Award*** ", Adjective use by individuals with agrammatic primary progressive aphasia,Society for the Neurobiology of Language,,,,,,,,,,,,,"Sostarics, Thomas; Walenski, Matthew; Mesulam, M. Marsel; Thompson, Cynthia K (2020). Adjective use by individuals with agrammatic primary progressive aphasia. Society for the Neurobiology of Language 2020."
2019_amlap,2019,"Arkhipova, Yana; Sostarics, Thomas; Law, Ryan; Xiang, Ming; Chow, Wing Yee",poster,"(Poster presentation)

***1st Place Best Paper Award*** ",'Nonetheless' can reverse predictions immediately: evidence from ERPs,Architectures and Mechanisms for Language Processing (AMLaP2019),,"Moscow, Russia",,,,,,,nonetheless_AMLaP_3.0.pdf,,,,"Arkhipova, Yana; Sostarics, Thomas; Law, Ryan; Xiang, Ming; and Chow WingYee (2019). 'Nonetheless' can reverse predictions immediately: evidence from ERPs. AMLAP 2019. Moscow, Russia."
2021_leap,2021,"Sostarics, Thomas",invited talk,,Pragmatic Contributions of the L*L-L% Contour in American English,"Language Evolution, Acquisition, and Processing Workshop",,The University of Chicago,,,,,,,,,,,"Sostarics, Thomas (2021). Pragmatic Contributions of the L*L-L% Contour in American English. Language Evolution, Acquisition, and Processing Workshop. The University of Chicago."
2022_midphon,2022,"Sostarics, Thomas; Cole, Jennifer",poster,"(Poster presentation)

***1st Place Best Paper Award*** ",Exploring the Voice Quality of Nuclear Tunes,27th Midcontinental Phonetics and Phonology Conference (Midphon 2022),https://linguistics.wustl.edu/events/midphon-27,"St. Louis, MI",,10/8/2022,10/8/2022,,,,Sostarics-2022-Midphon.png,,,,"Sostarics, Thomas; Cole, Jennifer (2022). Exploring the Voice Quality of Nuclear Tunes. 27th Midcontinental Phonetics and Phonology Conference. Washington University of St. Louis.

Poster available as a high-definition PNG file. The original PDF has a lot of geometry from the faceted graphs, and as a result has a tendency to crash PDF viewers.

On the poster, there are flags with numbers. Flags on the left column of the poster (<i class=""fas fa-flag""></i>) denote specific goals/questions. Match the number on these flags with those of the flags on the right side of the poster (<i class=""fas fa-flag fa-flip-horizontal""></i>) for the observations from the data that address each question. 

Design inspirations: Flags. Toothpicks. Larynx. Cat's cradle. Overlay windows."
2023_asa,2023,"Sostarics, Thomas; Cole, Jennifer",poster,"(Poster presentation)

***1st Place Best Paper Award*** ",Tonal center of gravity predicts variation in the interpretation of rising and falling intonation in american english,184th Meeting of the Acoustical Society of America,https://acousticalsociety.org/chicago-2023/,"Chicago, IL",,5/8/2023,5/11/2023,https://osf.io/8hrfv/,https://github.com/tsostarics/icphs_asa_2023,,asa2023_poster.pdf,,sostaricscole_asa2023.bib,https://doi.org/10.1121/10.0018225,"***1st Place Best Paper in Speech Communication Award***

Design inspirations: Magenta. Flattening. Kirby. ASA color palette. Name tags.

Sostarics, T., & Cole, J. (2023). Tonal center of gravity predicts variation in the interpretation of rising and falling intonation in American English. The Journal of the Acoustical Society of America, 153(3_supplement), A78–A78. https://doi.org/10.1121/10.0018225"
2023_icphs,2023,"Sostarics, Thomas; Cole, Jennifer",proceedings;poster,"(Proceedings Paper, Poster Presentation)",Testing the Locus of Speech-Act Meaning in English Intonation,International Congress of the Phonetic Sciences 2023,https://www.icphs2023.org/,"Prague, Czech Republic",,8/7/2023,8/11/2023,https://osf.io/8hrfv/,https://github.com/tsostarics/icphs_asa_2023,sostaricscole_icphs2023.pdf,sostaricscole_icphs_poster.pdf,,sostaricscole23_icphs.bibtex,,"Design inspirations: Riemann sums. Halftone patterns. Northwestern purple & ICPhS blue. Whiteboards. Handwriting. Sostarics, T., Cole, J. (2023) Testing the Locus of Speech-Act Meaning in English Intonation. Proc. International Congress of Phonetic Sciences (ICPhS)."
